Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
Bureau D'EXPERTISES SERGE MERCKX,BUREAU DEXPERTISES SERGE MERCKX,80,A,Uccle,1,Serge Merckx,+3247531566,expert@sergemerckx.be,+3247531566 | +3290111669 | +3252123123,expert@sergemerckx.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3223461657,expert@sergemerckx.be,,expert@sergemerckx.be,https://www.sergemerckx.be,https://www.google.com/maps/search/Bureau%20D'EXPERTISES%20SERGE%20MERCKX%20Uccle,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
AXECO Srl,AXECO,80,A,Watermael-Boitsfort,3,Titouan Visart de Bocarmé | Jonathan Brossé | Louise Doms,,info@axeco.immo,,info@axeco.immo,+3227362094,,,brosse@axeco.immo,https://axeco.immo/,https://www.google.com/maps/search/AXECO%20Srl%20Watermael-Boitsfort,,,"Gestion locative, Syndic, Location",Oui,Oui,Non,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
PMBEL SCRL,PMBEL,80,A,Kraainem,2,Hervé van Rijckevorsel | Erik Engström,+3224662374,info@pmbel.be,+3224662374 | +3288692640,info@pmbel.be,,,,info@pmbel.be | info@PMBEL.be,https://www.pmbel.be,https://www.google.com/maps/search/PMBEL%20SCRL%20Kraainem,,,"Gestion locative, Syndic, Vente, Commercial",Oui,Oui,Oui,Non,Oui,,,,,17,0797.081.167,SRL,2023-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Immobilière La Régence,IMMOBILIRE LA RGENCE,80,A,Laeken,1,Frédéric Delhaye,+3227341109,info@immo-laregence.be,+3227341109,info@immo-laregence.be,,,,frederic.delhaye@immo-laregence.be,https://www.immo-laregence.be,https://www.google.com/maps/search/Immobili%C3%A8re%20La%20R%C3%A9gence%20Laeken,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
AGENCIMMO,AGENCIMMO,80,A,Woluwe-Saint-Lambert,1,Rachel Israel,+3227354580,,+3227354580,,+3227354580,info@agencimmo.be,,info@agencimmo.be,https://www.agencimmo.be,https://www.google.com/maps/search/AGENCIMMO%20Woluwe-Saint-Lambert,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
DIGITAL PEPPER,DIGITAL PEPPER,80,A,Uccle,1,Erwin Barbé,+32470166332,info@choisirunsyndic.be,+32470166332,info@choisirunsyndic.be,,,,erwin@immobrussels.be,https://www.choisirunsyndic.be,https://www.google.com/maps/search/DIGITAL%20PEPPER%20Uccle,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
DELMOTTE S.A.,DELMOTTE SA,80,A,Auderghem,2,Françoise Delmotte | Benoît Linard de Guertechin,,linard.gauthier@gmail.com,,linard.gauthier@gmail.com,,,,info@immodelmotte.be,https://www.immodelmotte.be,https://www.google.com/maps/search/DELMOTTE%20S.A.%20Auderghem,,,"Gestion locative, Syndic, Vente",Oui,Oui,Oui,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Basicsyndic,BASICSYNDIC,80,A,Sint-Pieters-Woluwe,1,Benjamin Malaika,+32473315100,info@basicsyndic.be,+32473315100,info@basicsyndic.be,+32477888755,bmalaika@basicsyndic.be,,bmalaika@basicsyndic.be,https://www.basicsyndic.be,https://www.google.com/maps/search/Basicsyndic%20Sint-Pieters-Woluwe,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
B.G.I.V. Services immobiliers srl,BGIV SERVICES IMMOBILIERS,80,A,Kraainem,1,Geoffroy Vranckx,+3248789124,geoffroy.vranckx@bgiv.be,+3248789124,geoffroy.vranckx@bgiv.be | contact@bgiv.be,,geoffroy.vranckx@bgiv.be,,geoffroy.vranckx@bgiv.be,https://www.bgiv.be,https://www.google.com/maps/search/B.G.I.V.%20Services%20immobiliers%20srl%20Kraainem,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
SERVICE ACOR,SERVICE ACOR,80,A,Charleroi,1,Philippe Roquet,+3271320208,service.acor@gmail.com,+3271320208 | +3271322028,service.acor@gmail.com,+3271320208,service.acor@gmail.com,,service.acor@gmail.com,https://www.serviceacor.com,https://www.google.com/maps/search/SERVICE%20ACOR%20Charleroi,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
GROWING / Schuman,GROWING SCHUMAN,78,A,Bruxelles,1,Alexis Boven,+32485221484,info@growing.be,+32485221484 | +3231431099 | +3228080668 | +3225053850 | +3225034223,info@growing.be | info@ipi.be,+3228080668,info@growing.be,,info@growing.be,https://www.growing.be,https://www.google.com/maps/search/GROWING%20%2F%20Schuman%20Bruxelles,4.5,10,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,7,,SRL,2018-01-01,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
IMMOCOM,IMMOCOM,78,A,Saint-Gilles,1,Michel Vanvinckenroye,+3225348611,info@immocom.be,+3225348611 | +3225346611 | +32477556288 | +32481611852 | +32491611852,info@immocom.be | u003einfo@immocom.be,+3225348611,mv@immocom.be,,mv@immocom.be,https://www.immocom.be,https://www.google.com/maps/search/IMMOCOM%20Saint-Gilles,,,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Knight Frank,KNIGHT FRANK,78,A,Ixelles,1,Filip Derijck,+32470000000,someone@example.com,+32470000000 | +3247000000,someone@example.com | address@example.com | replytoaddress@example.com,+3225480548,info@be.knightfrank.com,,info@be.knightfrank.com,https://www.knightfrank.be,https://www.google.com/maps/search/Knight%20Frank%20Ixelles,4,10,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,30,15,15,200,0425.150.010,SA,1983-12-22,,Comment circule l'information quand un locataire signale un probleme ?
CD Properties,CD PROPERTIES,78,A,Saint-Gilles,2,Gwendoline Simon | Dorothée Charles,+3245697255,cdproperties_immobiler_background2@2x.png,+3245697255,cdproperties_immobiler_background2@2x.png,+3228972884,dorothee@cdproperties.be,,dorothee@cdproperties.be,http://cdproperties.be,https://www.google.com/maps/search/CD%20Properties%20Saint-Gilles,,,"Gestion locative, Vente, Location",Oui,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Bettencourt Real Estate ( ADBK Invest ),BETTENCOURT REAL ESTATE ADBK INVEST,78,A,Uccle,1,Abraham de Bettencourt de Azevedo Mafra,+3226152020,info@bettencourtrealestate.be,+3226152020 | +32471094078 | +3225053850,info@bettencourtrealestate.be | info@ipi.be,+3226152020,adb@bettencourtrealestate.be,,adb@bettencourtrealestate.be,https://www.bettencourtrealestate.be,https://www.google.com/maps/search/Bettencourt%20Real%20Estate%20(%20ADBK%20Invest%20)%20Uccle,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Abri-Europe Immobilière,ABRIEUROPE IMMOBILIRE,78,A,Uccle,1,Guy Van Ackere,+3223756662,info@abrieurope.be,+3223756662 | +32479753608 | +3225053850,info@abrieurope.be | ceo@abrieurope.be | info@ipi.be,+3223756662,ceo@abrieurope.be,,ceo@abrieurope.be,https://www.abrieurope.be,https://www.google.com/maps/search/Abri-Europe%20Immobili%C3%A8re%20Uccle,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
CAP SUD Etterbeek-Woluwé,CAP SUD ETTERBEEKWOLUW,78,A,Etterbeek,1,Alain Braem,+3249984133,info@cap-sud.com,+3249984133 | +3223874242 | +3227334800 | +3281210810 | +3267794444 | +3271667670 | +3256777707 | +3223723511 | +32485506631 | +32471915379,info@cap-sud.com,+3227334800,alain.braem@cap-sud.com,,alain.braem@cap-sud.com,https://www.cap-sud.com,https://www.google.com/maps/search/CAP%20SUD%20Etterbeek-Woluw%C3%A9%20Etterbeek,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Century21 M-City,CENTURY21 MCITY,78,A,Molenbeek-Saint-Jean,3,Lou Elleinstein | Cosimo Ferrara | Lamia Farous,+32474142086,cf@century21m-city.be,+32474142086 | +32456075850 | +3267566284,cf@century21m-city.be,+3224142101,bg@century21m-city.be | cf@century21m-city.be,,bg@century21m-city.be | cf@century21m-city.be,https://century21m-city.be,https://www.google.com/maps/search/Century21%20M-City%20Molenbeek-Saint-Jean,,,"Gestion locative, Vente, Location",Oui,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
B2BEstate,B2BESTATE,78,A,Uccle,1,Julien Crunelle,+3226449923,info@b2bestate.be,+3226449923 | +32453314355,info@b2bestate.be,+3226449923,info@b2bestate.be,,info@b2bestate.be,https://www.b2bestate.be,https://www.google.com/maps/search/B2BEstate%20Uccle,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,immoweb,,,,,,,,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Parenthese urbaine,PARENTHESE URBAINE,78,A,Watermaal-Bosvoorde,1,Aline Cacciuttolo,+3249570214,ac@parentheseurbaine.com,+3249570214 | +3225053850,ac@parentheseurbaine.com | info@ipi.be,+32495702142,parenthese.urbaine@gmail.com,+32495702142,Parenthese.urbaine@gmail.com,https://www.parentheseurbaine.com,https://www.google.com/maps/search/Parenthese%20urbaine%20Watermaal-Bosvoorde,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
CUSHMAN & WAKEFIELD,CUSHMAN ET WAKEFIELD,77,A,Bruxelles,8,Arnaud de Brouchoven de Bergeyck | Bart Vanderhoydonck | Vincent Vanderstraeten | Jean Baheux | Antoine Brusselmans | Marc-Antoine Buysschaert | Stéphane Moermans | Jonathan Delguste,,,,,+3225460858 | +32479780830 | +32494188305 | +3225144000 | +3225460886,arnaud.debergeyck@eur.cushwake.com | jonathan.delguste@cushwake.com | vincent.vanderstraeten@cushwake.com | jean.baheux@cushwake.com | antoine.brusselmans@eur.cushwake.com | info.brussels@cushwake.com | jonathan.delguste@eur.cushwake.com,+32479780830 | +32494188305,arnaud.debergeyck@eur.cushwake.com | jonathan.delguste@cushwake.com | vincent.vanderstraeten@cushwake.com | jean.baheux@cushwake.com | antoine.brusselmans@eur.cushwake.com | info.brussels@cushwake.com | jonathan.delguste@eur.cushwake.com,,https://www.google.com/maps/search/CUSHMAN%20%26%20WAKEFIELD%20Bruxelles,3.8,15,,Non,Non,Non,Non,Non,,100,60,40,500,0422.118.165,SA,1982-01-01,,Comment circule l'information quand un locataire signale un probleme ?
CEGI,CEGI,77,A,Uccle,3,Guillaume Swaelens | Alexandre Tassier | Vincent Hemula,+3223460324,info@immo-cegi.be,+3223460324,info@immo-cegi.be,+3223460324,g.swaelens@immocegi.be | g.swaelens@immo-cegi.be | v.hemula@immo-cegi.be,,g.swaelens@immocegi.be | g.swaelens@immo-cegi.be | v.hemula@immo-cegi.be,https://www.immocegi.be,https://www.google.com/maps/search/CEGI%20Uccle,,,"Syndic, Vente, Location",Non,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Immobilière LE COL-VERT,IMMOBILIRE LE COLVERT,77,A,Etterbeek,3,Isabelle Devreux | Laurent Kleykens | Emeric Ongenaed,,,,,+3226443876 | +3226443070,isabelle.devreux@col-vert.be | laurent.kleykens@col-vert.be,,isabelle.devreux@col-vert.be | laurent.kleykens@col-vert.be,,https://www.google.com/maps/search/Immobili%C3%A8re%20LE%20COL-VERT%20Etterbeek,3.3,60,,Non,Non,Non,Non,Non,,20,12,8,80,0476.569.413,SRL,2000-01-01,difficile à joindre; service client médiocre; tarifs élevés; réponses automatiques sans suivi; lignes téléphoniques occupées,Vos clients mentionnent difficile à joindre — comment gerez-vous le suivi des demandes aujourd'hui ?
FW Move Forward (SYNDIC4U),FW MOVE FORWARD SYNDIC4U,77,A,Watermael-Boitsfort,3,Didier Forger | BENOIT SEYS | Ludovic Watthée,+32495693469,info@syndic4u.immo,+32495693469 | +3249569346 | +32478411473 | +3247841147 | +32496606263 | +3249660626,info@syndic4u.immo | pw@syndic4u.immo | df@syndic4u.immo | lw@syndic4u.immo,+32478411473,df@syndic4u.immo | benoit.seys@me.com,,df@syndic4u.immo | benoit.seys@me.com | info@fwmoveforward.immo,https://www.syndic4u.immo,https://www.google.com/maps/search/FW%20Move%20Forward%20(SYNDIC4U)%20Watermael-Boitsfort,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Citya Bruxelles SA,CITYA BRUXELLES,77,A,Uccle,3,Muriel Piérache | Laurent Pecher | Gor Snapyan,,,,,+3223733820,oreye@citya-belgium.be,,mpierache@citya-belgium.be | oreye@citya-belgium.be,,https://www.google.com/maps/search/Citya%20Bruxelles%20SA%20Uccle,3.2,35,,Non,Non,Non,Non,Non,,15,10,5,200,0873.284.961,SA,2005-04-14,réactivité insuffisante; erreurs administratives; manque de communication,Vos clients mentionnent réactivité insuffisante — comment gerez-vous le suivi des demandes aujourd'hui ?
A4i SRL,A4I,77,A,Jette,4,Guérric Auriel | Denis Wilmart | Gaëlle Auriel | Jean-François Cannoot,+3224601135,a4i@a4i.be,+3224601135,a4i@a4i.be | contact@example.com,+3224601135,a4i@a4i.be,+3224601135,a4i@a4i.be | A4i@A4i.be | dw@a4i.be,http://www.a4i.be,https://www.google.com/maps/search/A4i%20SRL%20Jette,,,"Syndic, Vente, Location",Non,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
BRIKMAN,BRIKMAN,76,A,Bruxelles,1,Houssein Driyak,+3222191996,info@brikman.be,+3222191996 | +3225053850,info@brikman.be | info@ipi.be,+3222191996,info@brikman.be,,info@brikman.be,https://www.brikman.be,https://www.google.com/maps/search/BRIKMAN%20Bruxelles,4.2,39,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,25,15,10,50,0841.066.313,SRL,2011-01-01,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Metropole Properties,METROPOLE PROPERTIES,76,A,Uccle,2,Jean-Philippe Corvers | François Liénard,+3223407490,rent@metrop.be,+3223407490 | +32450610629 | +3225053850,rent@metrop.be | info@metrop.be | info@ipi.be,+3223407490,rent@metrop.be,,rent@metrop.be,http://www.metrop.be,https://www.google.com/maps/search/Metropole%20Properties%20Uccle,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Jam Properties,JAM PROPERTIES,76,A,Saint-Gilles,2,Audrey Linskens | Sacha Deneys,+3225342187,info@jamproperties.be,+3225342187,info@jamproperties.be,+3225342187,info@jamproperties.be,,info@jamproperties.be | john@jamproperties.be,https://www.jamproperties.be,https://www.google.com/maps/search/Jam%20Properties%20Saint-Gilles,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise; immoweb,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Mahssa Immo,MAHSSA IMMO,76,A,Schaerbeek,3,Özkan Yildirim | Lauriano Blonda | Mahssa Jahanchiri,+32485403051,welcome@mahssa.immo,+32485403051 | +3248540305 | +32499602920 | +3249960292 | +3223422213 | +3225053850,welcome@mahssa.immo | lene@mahssa.immo | info@ipi.be,,welcome@mahssa.immo | mahssa@mahssa-immo.be,+32485403051,welcome@mahssa.immo | mahssa@mahssa-immo.be,http://www.mahssa.immo,https://www.google.com/maps/search/Mahssa%20Immo%20Schaerbeek,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
RAVEL ESTATE,RAVEL ESTATE,76,A,Uccle,2,Ravel Touijar | Tim Beck,+3228887777,info@ravelestate.be,+3228887777 | +3225053850,info@ravelestate.be | info@ipi.be,+3228887777 | +32498668517,info@ravelestate.be | touijar@ravelestate.be,+32498668517,info@ravelestate.be | touijar@ravelestate.be,https://www.ravelestate.be,https://www.google.com/maps/search/RAVEL%20ESTATE%20Uccle,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
TRIANON INVEST,TRIANON INVEST,76,A,Uccle,2,Muriel Obri | Thomas Obri,+3225201900,info@trianon-invest.be,+3225201900 | +3223403707,info@trianon-invest.be,+3223403707 | +3225201900,info@trianon-invest.be,,info@trianon-invest.be,https://www.trianon-invest.be,https://www.google.com/maps/search/TRIANON%20INVEST%20Uccle,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
IMMODREAM,IMMODREAM,76,A,Uccle,5,Stéphane Beublet | Nicolas Rolland | Christel Geeraert | Thomas Leonard | Nora Rahmoune,+3223744103,info@immodream.com,+3223744103 | +32471595489 | +3225053850,info@immodream.com | nicolas@immodream.com | info@ipi.be,+3223744103,info@immodream.com | nicolas@immodream.com | nmpanjo@gmail.com,,info@immodream.com | nicolas@immodream.com | nmpanjo@gmail.com,https://www.immodream.com,https://www.google.com/maps/search/IMMODREAM%20Uccle,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
SORIMO INTHAS,SORIMO INTHAS,76,A,Woluwe-Saint-Pierre,5,André Questiaux | Michael Questiaux | Arnauld Bouchez | Amaury Roeykens | Jean-Christophe Questiaux,+3227728020,info@sorimo.be,+3227728020 | +3225053850,info@sorimo.be | mquestiaux@sorimo.be | info@ipi.be,+3227728020,mquestiaux@sorimo.be | info@sorimo.be,,inthas@sorimo.be | mquestiaux@sorimo.be | info@sorimo.be,https://www.sorimo.be,https://www.google.com/maps/search/SORIMO%20INTHAS%20Woluwe-Saint-Pierre,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Asvedec Administration de Biens,ASVEDEC ADMINISTRATION DE BIENS,75,A,Ixelles,1,Yves Van Ermen,+3221626502,info@asvedec.be,+3221626502 | +3226491380,info@asvedec.be,+3226491380,info@asvedec.be,,info@asvedec.be,https://www.asvedec.be,https://www.google.com/maps/search/Asvedec%20Administration%20de%20Biens%20Ixelles,,,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Square Estate,SQUARE ESTATE,75,A,Wemmel,2,Thibaud Van Sinay | Michaël Willemse,,info@square-estate.be,,info@square-estate.be,+3224604201,info@square-estate.be,,info@square-estate.be | mwillemse@square-estate.be,https://www.square-estate.be,https://www.google.com/maps/search/Square%20Estate%20Wemmel,,,"Syndic, Location",Non,Oui,Non,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
BLOMSTRAND Immobilière,BLOMSTRAND IMMOBILIRE,75,A,Schaerbeek,1,Maximilien Blomstrand,+3248411201,info@blm.immo,+3248411201 | +3248707786 | +3228861496,info@blm.immo,+32484112011,info@blm.immo,+32484112011,info@blm.immo,https://www.blm.immo,https://www.google.com/maps/search/BLOMSTRAND%20Immobili%C3%A8re%20Schaerbeek,,,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Synergie (Vermeire Gestion SRL),SYNERGIE VERMEIRE GESTION,75,A,Schaerbeek,1,Alexandre Vermeire,+3228881185,info@synergie-syndic.be,+3228881185,info@synergie-syndic.be,+3228881185,info@synergie-syndic.be,,info@synergie-syndic.be,https://www.synergie-syndic.be/,https://www.google.com/maps/search/Synergie%20(Vermeire%20Gestion%20SRL)%20Schaerbeek,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
OP Bruxelles East,OP BRUXELLES EAST,75,A,Woluwe-Saint-Lambert,1,Mohamed Bentatou,+3278790180,,+3278790180 | +32463887681 | +3279440502 | +3279507669 | +3279574836 | +3226260826,,+3226634854,mbentatou@op.be,,mbentatou@op.be,https://www.op.be/,https://www.google.com/maps/search/OP%20Bruxelles%20East%20Woluwe-Saint-Lambert,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
